area,perimeter,height,width,r_value,g_value,b_value,index,label
228.5,384.9604583,269,326,204,139,91,13,2
223,0,269,326,159,86,65,12,2
221.5,8,269,326,188,162,137,11,2
221.5,226.6899834,269,326,196,168,65,13,2
204.5,784.1391709,269,326,220,161,111,12,2
193,132.6469245,269,326,212,153,89,12,2
215,0,269,326,203,127,83,12,2
210.5,901.2561517,269,326,222,147,57,13,2
210,294.6331292,269,326,219,168,90,13,2
197,376.139521,269,326,226,155,35,12,2
217,280.4134447,269,326,225,149,52,13,2
178.5,33.89116874,269,326,158,90,61,12,2
235,333.0609634,269,326,196,111,71,14,2
206,203.5821611,269,331,169,92,67,12,2
229,301.2605461,269,331,190,171,75,11,2
196,900.0214214,269,339,166,94,69,12,2
201,4.779898953,269,339,152,117,95,12,2
193,11.65685415,269,339,217,157,98,12,2
185,210.1547451,269,339,215,159,101,12,2
200.5,232.8355672,269,339,229,171,120,12,2
208,21.85096664,269,339,201,174,86,13,2
214.5,105.7332153,269,339,221,149,77,12,2
208,3.2,269,339,185,168,101,12,2
212.5,2.4,269,339,188,163,98,12,2
240,137.1439809,269,339,204,142,57,13,2
215.5,340.2914118,269,339,204,161,41,15,2
198,119.2430582,269,339,176,153,130,13,2
184,167.5175749,269,339,165,142,120,11,2
216,387.5462443,269,339,225,157,66,12,2
216.5,314.5624778,269,339,214,165,91,12,2
218,283.9683661,269,339,222,157,55,11,2
212.5,517.0250451,269,339,222,154,63,12,2
219.5,167.1557561,269,361,212,167,87,12,2
208.5,162.7675309,269,361,215,166,80,11,2
205.5,291.0615553,269,361,204,173,73,12,2
219.5,762.5876983,269,361,220,162,69,12,2
217,161.4719028,269,361,211,135,88,12,2
230,149.0871266,269,361,207,145,111,13,2
222.5,258.5056244,269,361,185,161,101,12,2
230.5,252.597803,269,361,186,161,102,13,2
229.5,157.5058003,269,361,179,155,97,14,2
229,217.9468369,269,361,191,93,67,11,2
205.5,357.060963,269,361,219,161,67,11,2
235.5,792.0033419,269,366,214,175,109,12,2
228,646.2813079,269,366,220,170,65,13,2
223.5,325.1330401,269,366,225,165,90,13,2
214,219.4802284,269,366,219,152,29,14,2
213,243.8061305,269,366,214,163,94,14,2
226.5,211.2542397,269,366,216,152,112,13,2
239,82.40285597,269,366,197,121,65,12,2
239.5,10,269,366,209,153,112,11,2
357,55.71858518,269,366,202,164,64,12,2
253.5,291.2252207,269,366,212,164,113,14,2
230.5,299.3860302,269,366,211,163,115,14,2
232.5,472.6672686,269,366,211,164,103,13,2
218.5,405.0055367,269,366,213,169,122,14,2
216.5,276.3232857,269,366,210,167,65,14,2
226,237.7291755,269,366,206,153,101,13,2
237,13.78233747,269,366,175,153,113,13,2
216,195.7748463,269,366,217,161,65,13,2
216.5,252.2428817,269,366,205,171,77,12,2
273.5,263.7472552,269,366,212,141,66,12,2
235.5,150.0008348,269,366,217,143,59,11,2
217,51.75878744,269,366,223,147,23,13,2
197.5,120.2940246,269,366,216,141,75,12,2
218,4.828427076,269,366,209,163,68,13,2
230.5,5.794112492,269,366,213,146,105,13,2
233,253.4213531,269,366,215,150,109,12,2
251,444.0260566,269,366,191,149,73,13,2
244.5,241.478208,269,366,214,146,107,13,2
212.5,129.9508786,269,366,217,161,65,13,2
224.5,393.7084821,269,366,211,164,87,13,2
209.5,259.5468374,269,366,188,113,64,13,2
242,0,269,366,207,162,49,11,2
240.5,258.44877,269,366,205,155,79,11,2
221,247.9586118,269,366,210,161,68,11,2
242,308.9860283,269,366,223,151,20,13,2
244.5,374.1084797,269,366,221,152,22,12,2
213.5,2.8,269,366,213,157,83,13,2
204.5,303.1198372,269,366,214,163,93,14,2
230,811.2504399,269,366,206,168,82,12,2
209.5,15.45096664,269,366,198,164,88,11,2
230,869.9956078,269,366,215,153,49,11,2
202.5,287.0213542,269,366,206,159,68,11,2
213,4.097056246,269,366,202,164,75,11,2
256.5,2.8,269,366,222,154,37,12,2
214.5,3.414213538,269,366,212,164,31,11,2
262,272.7939392,269,366,213,155,38,14,2
202.5,5.794112492,269,366,210,163,98,12,2
205.5,362.3746707,269,366,203,168,104,13,2
213.5,231.2958696,269,366,207,168,90,14,2
231.5,484.0461558,269,366,209,158,106,13,2
229,41.43919163,269,366,212,170,86,13,2
200,242.1076452,269,366,206,164,73,12,2
203,236.2899837,269,366,213,119,70,13,2
224,40.48528123,269,366,199,154,66,12,2
220.5,227.5468369,269,366,206,155,35,12,2
231.5,341.7819855,269,366,211,157,58,13,2
218,246.0840964,269,366,201,148,59,12,2
242,59.11269784,269,366,214,154,74,12,2
199,22.72792184,269,366,211,165,55,11,2
228.5,284.0903999,269,366,215,154,76,12,2
219,217.0566797,269,366,212,164,109,14,2
199,473.3202558,269,366,219,160,47,11,2
208.5,0,269,366,203,174,102,12,2
225.5,167.5571842,269,366,200,158,71,12,2
198,3.414213538,269,366,214,164,57,13,2
212,30.3078208,269,366,209,164,62,12,2
206,365.40411,269,366,228,151,26,13,2
196,336.0904019,269,366,228,153,51,13,2
198.5,289.1703883,269,366,205,152,66,10,2
230.5,299.161467,269,366,216,150,14,13,2
265.5,16.48528123,269,366,194,153,17,14,2
234.5,300.4369954,269,366,189,157,15,12,2
221,240.1860279,269,366,216,160,108,12,2
251,265.3978043,269,366,214,158,102,11,2
251.5,60.28427076,269,366,199,160,92,11,2
227,22.14213514,269,366,199,162,119,11,2
229,236.4840956,269,366,206,161,105,11,2
223,193.5454106,269,366,200,160,64,13,2
210,280.6213526,269,366,221,152,31,14,2
203,2.731370831,269,366,223,156,46,13,2
238.5,392.5799675,269,366,215,149,16,11,2
218,267.1919152,269,366,196,172,84,11,2
213,383.0193318,269,366,214,164,66,11,2
242.5,8.876955199,269,366,216,149,99,13,2
208,216.3703869,269,366,211,177,47,11,2
259.5,2.8,269,366,197,171,62,11,2
237,24.97056246,269,366,198,152,7,14,2
218.5,356.8349762,269,366,206,147,127,12,2
220.5,19.31370831,269,366,193,158,11,12,2
191,15.45096664,269,366,222,159,110,12,2
188,347.476186,269,366,221,154,101,13,2
216.5,221.421353,269,366,206,172,87,13,2
229.5,10.71959581,269,366,214,168,77,13,2
