r_value,g_value,b_value,label
205,165,63,4
204,130,56,4
207,159,92,4
206,161,97,4
208,167,85,4
207,149,55,4
206,171,92,4
207,134,69,4
207,167,42,4
205,115,76,4
206,141,83,4
206,115,80,4
208,164,75,4
205,121,62,4
207,169,91,4
206,169,87,4
205,169,100,4
208,120,78,4
206,119,58,4
205,164,36,4
206,165,70,4
208,134,100,4
208,162,87,4
207,157,87,4
205,162,97,4
206,135,73,4
208,120,60,4
208,125,65,4
205,155,87,4
206,182,103,4
207,160,76,4
206,162,69,4
205,170,77,4
205,168,94,4
206,159,64,4
205,158,82,4
207,164,85,4
208,146,80,4
204,130,64,4
204,139,102,4
204,162,67,4
207,149,67,4
204,161,108,4
205,149,68,4
205,158,50,4
207,163,65,4
205,161,21,4
208,165,104,4
206,158,86,4
206,141,34,4
207,159,20,4
207,143,109,4
205,159,27,4
205,152,100,4
205,165,74,4
207,143,55,4
205,167,47,4
204,154,28,4
205,154,10,4
208,167,63,4
205,174,84,4
207,138,70,4
204,168,86,4
207,162,98,4
206,148,108,4
206,156,121,4
208,170,139,4
208,166,94,4
204,153,86,4
208,165,37,4
205,169,67,4
206,150,74,4
204,181,120,4
206,120,63,4
204,124,69,4
207,152,77,4
204,124,57,4
204,127,56,4
205,167,106,4
204,119,62,4
207,148,116,4
208,159,56,4
204,131,58,4
204,154,109,4
204,164,59,4
207,143,87,4
205,146,79,4
207,175,137,4
207,166,67,4
207,147,73,4
206,109,72,4
205,154,60,4
207,154,54,4
204,160,95,4
207,175,104,4
208,144,72,4
204,162,40,4
207,163,77,4
207,156,77,4
204,173,107,4
208,165,81,4
204,133,102,4
208,152,83,4
204,113,69,4
205,145,64,4
207,151,68,4
204,160,116,4
208,138,103,4
204,155,59,4
207,158,100,4
206,158,84,4
206,139,71,4
205,135,102,4
207,128,75,4
205,168,66,4
206,164,57,4
207,156,44,4
206,169,99,4
207,173,106,4
204,164,14,4
206,160,63,4
206,148,84,4
206,143,80,4
207,168,85,4
206,157,26,4
207,160,26,4
205,166,103,4
206,165,65,4
206,168,65,4
205,150,102,4
205,169,83,4
204,157,7,4
204,162,79,4
205,169,69,4
206,160,96,4
208,159,79,4
208,165,39,4
206,167,57,4
205,159,84,4
208,167,111,4
205,161,108,4
207,167,117,4
204,141,72,4
205,167,99,4
208,135,52,4
205,163,94,4
208,153,69,4
205,113,73,4
204,123,66,4
207,143,61,4
208,158,78,4
208,161,55,4
205,148,113,4
204,153,79,4
205,144,63,4
204,151,102,4
207,140,85,4
207,144,94,4
204,162,65,4
206,115,84,4
204,155,79,4
206,144,96,4
205,123,56,4
205,133,61,4
206,169,96,4
205,157,72,4
208,125,96,4
204,116,80,4
206,127,95,4
