area,perimeter,height,width,r_value,g_value,b_value,index,label
202,217.7194206,275,381,223,153,56,13,1
234,52.55878744,275,381,219,161,67,11,1
226,309.019333,275,381,220,170,65,13,1
224,307.8477589,275,381,225,165,90,13,1
177,277.3851939,275,381,219,152,29,14,1
202,12.8,275,381,223,147,23,13,1
219,4.779898953,275,381,223,151,20,13,1
217,239.1350619,275,381,221,152,22,12,1
207.5,41.6984843,275,381,222,154,37,12,1
232.5,439.9407748,275,381,219,160,47,11,1
258.5,0,275,381,228,151,26,13,1
252.5,2570.029167,275,381,222,162,91,13,1
235.5,48.58233747,275,381,228,153,51,13,1
243.5,301.6958707,275,381,221,152,31,14,1
243,15.2,275,381,223,156,46,13,1
225,12.29116874,275,381,222,159,110,12,1
225,0,275,381,221,154,101,13,1
215.5,24.35634892,275,381,218,171,68,14,1
239.5,1067.190024,275,381,220,155,101,13,1
278,31.2,275,381,222,169,116,12,1
213,37.65685415,275,381,222,158,21,14,1
241,7.725483322,275,381,223,162,89,11,1
221.5,72.75289993,129,319,215,158,39,12,2
232,14.12548332,129,319,213,164,70,12,2
265.5,25.65685415,149,319,213,178,113,12,2
236,13.98822498,149,320,213,164,115,13,2
190,195.2792187,149,320,217,164,90,12,2
240,407.788883,149,320,215,160,69,11,2
225.5,2,149,320,216,148,27,13,2
230,446.6790436,149,320,213,153,16,11,2
232.5,23.17644997,149,320,215,157,93,12,2
213,11.2,149,320,215,158,108,11,2
238,580.3054489,149,359,213,155,108,12,2
198.5,221.8233745,242,359,217,172,110,12,2
201.5,3.414213538,242,359,215,152,52,11,2
195,88.09991217,242,359,215,168,67,12,2
224.5,30.9989892,242,359,216,164,106,13,2
219,3.959797907,242,359,216,171,106,14,2
232,139.4067239,242,359,217,161,106,13,2
207.5,259.7409492,242,359,213,143,18,11,2
245.5,38.82842708,242,359,216,155,111,14,2
224,245.7291736,242,359,217,139,87,13,2
222,0,242,359,217,174,106,14,2
203,224.782163,242,359,214,155,45,13,2
219.5,187.3194212,242,359,213,160,58,12,2
232.5,13.51959581,242,359,213,156,34,13,2
221.5,297.8061297,242,359,216,154,46,10,2
214.5,224.5076468,242,359,215,159,67,13,2
190,338.3919152,242,359,213,165,82,12,2
194.5,7.725483322,242,359,217,154,87,11,2
213.5,354.575681,242,359,217,143,59,14,2
199.5,254.3586119,242,359,214,154,91,12,2
222,292.7919164,242,359,214,182,118,12,2
224,29.96467495,242,359,213,144,102,10,2
224.5,190.7336341,261,359,214,162,116,14,2
226.5,322.9188274,261,359,216,155,46,13,2
243.5,28.02497809,261,359,215,157,73,13,2
224,95.60285611,261,359,216,160,44,11,2
237,19.97644997,261,359,216,156,33,12,2
246,251.7880491,261,359,217,164,49,13,2
230,476.2741659,261,359,217,157,40,13,2
219,296.8487696,261,359,215,136,53,12,2
194,7.919595814,261,359,214,164,93,12,2
271.5,549.1249596,261,359,216,157,77,9,2
215.5,359.8144558,261,359,216,163,92,11,2
224.5,2.8,261,359,214,162,73,12,2
219.5,7.725483322,261,359,213,161,86,13,2
240,285.9232879,261,359,213,163,50,11,2
195,241.3208479,265,359,213,139,73,11,2
208,230.6331286,265,359,213,155,62,12,2
230,6.145584369,265,359,214,149,89,11,2
204.5,358.2110064,265,359,217,161,70,13,2
264.5,100.2371707,265,359,217,154,13,13,2
211,13.28528123,265,359,214,162,42,13,2
229.5,403.8893905,265,359,217,121,81,13,2
221,325.0089871,265,359,215,169,69,14,2
197.5,180.6115995,265,359,213,166,63,13,2
193,11.65685415,265,359,215,152,112,14,2
185,210.1547451,265,359,213,168,90,11,2
216.5,314.5624778,265,359,214,121,83,13,2
208.5,162.7675309,265,359,215,161,65,12,2
235.5,792.0033419,265,366,214,161,66,12,2
213,243.8061305,265,366,213,175,96,11,2
226.5,211.2542397,265,366,216,157,58,13,2
218.5,405.0055367,265,366,215,165,65,12,2
216,195.7748463,265,366,214,137,67,11,2
235.5,150.0008348,265,366,213,124,63,13,2
197.5,120.2940246,265,366,214,127,68,13,2
230.5,5.794112492,265,366,214,163,88,13,2
233,253.4213531,265,366,214,153,22,11,2
244.5,241.478208,265,366,216,156,120,11,2
212.5,129.9508786,265,366,213,164,83,13,2
213.5,2.8,265,366,214,153,101,12,2
204.5,303.1198372,265,366,216,162,67,11,2
230,869.9956078,265,366,214,146,52,14,2
262,272.7939392,265,366,213,136,85,12,2
203,236.2899837,265,366,215,151,89,10,2
242,59.11269784,265,366,213,171,109,13,2
228.5,284.0903999,265,366,217,178,116,12,2
198,3.414213538,265,366,217,158,97,11,2
230.5,299.161467,265,366,214,161,102,11,2
221,240.1860279,265,366,213,163,68,12,2
251,265.3978043,265,366,214,163,98,13,2
238.5,392.5799675,265,366,216,148,99,11,2
213,383.0193318,265,366,217,146,89,13,2
242.5,8.876955199,265,366,214,169,106,11,2
229.5,10.71959581,265,366,215,160,58,13,2
221.5,339.7937628,265,366,217,162,95,13,2
212.5,18.37644997,265,366,214,126,69,14,2
212.5,12.29116874,265,366,214,158,99,12,2
220,7.656854153,265,366,215,146,102,14,2
230.5,210.8424655,265,366,215,153,52,12,2
223.5,312.6546573,265,366,215,158,54,12,2
202.5,0,265,366,215,168,85,14,2
206.5,4.779898953,265,366,215,163,72,13,2
219.5,289.6723204,265,366,216,150,98,12,2
190,149.6223638,265,366,214,151,72,13,2
206.5,237.7791312,265,366,217,153,14,13,2
227.5,6.4,265,366,213,162,53,12,2
219,361.1275723,265,366,217,152,75,10,2
238.5,258.8840947,265,366,215,162,68,12,2
187,20.82842708,265,366,213,140,60,11,2
214.5,2,265,366,213,153,92,11,2
222.5,0,265,366,213,162,83,13,2
225.5,3.414213538,265,366,217,172,103,12,2
192,247.8782085,265,366,213,157,21,11,2
239.5,278.6193339,265,366,214,150,23,12,2
234.5,291.1115113,265,366,215,158,98,13,2
228,223.6639941,265,366,217,154,111,13,2
215,139.9175749,265,366,214,161,29,10,2
207.5,12.33137083,265,366,214,152,54,12,2
218,314.2879622,265,366,214,155,117,13,2
232,242.8840962,265,366,213,155,112,12,2
211.5,220.1762742,265,366,214,151,46,12,2
201.5,14.98233747,265,366,217,159,95,12,2
214.5,22.03675311,265,366,216,161,82,13,2
233.5,0,265,366,214,155,57,10,2
254,310.0702999,265,366,217,164,49,12,2
222,957.799122,265,366,216,139,48,12,2
227,127.566103,265,366,215,148,59,13,2
210,312.1527245,265,366,213,162,100,13,2
208,10.82842708,265,366,214,156,101,12,2
219.5,245.5807341,265,366,217,157,15,12,2
249,11.58822498,265,366,214,153,57,12,2
228.5,23.21665206,265,366,217,168,116,13,2
234,147.0351498,265,366,217,160,50,13,2
251.5,60.76955199,265,366,215,161,68,14,2
245.5,357.715378,265,366,217,156,55,13,2
241.5,220.9041964,265,366,217,144,61,12,2
252,292.7115113,265,366,214,156,10,11,2
208,602.0607883,265,366,214,151,64,13,2
209,434.3878743,265,366,216,157,104,13,2
230,245.6424648,265,366,216,168,76,12,2
219,289.4782076,265,366,216,153,95,13,2
181,193.1370824,265,366,213,170,70,11,2
245.5,4,265,366,217,164,108,13,2
215.5,5.462741661,265,366,217,156,62,11,2
218,279.7311945,265,366,213,155,62,13,2
204,238.0036917,265,366,217,156,98,11,2
241,24.11370831,265,366,217,168,115,13,2
224,2.4,265,366,215,157,92,13,2
218.5,468.2083932,265,366,214,102,58,12,2
265.5,202.6733309,265,366,213,163,75,13,2
250,323.4041088,265,366,214,162,63,12,2
224,284.4369958,265,366,215,161,71,12,2
225,305.9801422,265,366,213,129,72,13,2
212.5,64.28427076,265,366,217,160,42,12,2
228.5,2.4,269,366,216,156,51,11,2
228.5,234.6095786,269,366,213,162,86,12,2
204,15.15979791,269,366,214,124,62,11,2
217,421.1025943,269,366,215,156,47,12,2
211,321.2619739,269,366,214,132,67,12,2
212.5,422.5084803,269,366,216,136,85,13,2
200.5,460.6270649,269,366,215,156,106,12,2
228,264.090398,269,366,217,185,133,12,2
235,277.9482647,269,366,213,141,51,11,2
