r_value,g_value,b_value,label
202,161,93,5
214,163,46,5
206,164,68,5
196,134,51,5
200,154,37,5
217,155,75,5
207,157,20,5
207,149,12,5
207,149,11,5
216,157,112,5
195,155,8,5
201,180,84,5
190,100,62,5
218,121,70,5
226,128,91,5
199,172,74,5
221,131,98,5
210,164,42,5
203,164,59,5
210,166,49,5
200,162,27,5
212,156,114,5
202,155,22,5
196,166,20,5
196,166,20,5
208,174,95,5
209,173,100,5
212,113,72,5
223,162,109,5
226,161,105,5
226,155,99,5
208,174,85,5
200,165,63,5
215,145,80,5
197,122,62,5
197,120,66,5
188,118,64,5
212,162,74,5
215,159,43,5
223,112,71,5
213,163,77,5
215,163,98,5
217,172,107,5
220,170,100,5
216,102,58,5
220,152,36,5
212,176,88,5
204,162,61,5
207,153,60,5
222,155,46,5
216,162,74,5
215,153,46,5
205,155,56,5
215,168,88,5
204,170,83,5
198,167,83,5
211,174,84,5
199,171,95,5
207,152,92,5
215,164,101,5
215,153,91,5
211,169,53,5
210,165,79,5
202,172,57,5
205,164,87,5
214,157,49,5
211,126,64,5
209,159,50,5
219,151,41,5
211,150,48,5
216,142,68,5
211,165,83,5
201,99,69,5
217,105,64,5
215,165,77,5
202,134,70,5
214,132,63,5
199,115,63,5
211,163,80,5
210,164,82,5
196,118,67,5
218,140,66,5
204,120,66,5
203,160,105,5
201,155,101,5
211,167,85,5
212,165,82,5
200,157,71,5
208,127,65,5
226,145,57,5
208,169,93,5
223,164,77,5
217,153,95,5
219,135,79,5
214,146,45,5
206,146,51,5
208,139,67,5
200,117,60,5
214,158,29,5
198,115,61,5
208,133,57,5
217,160,74,5
200,166,117,5
213,165,114,5
212,168,115,5
208,166,116,5
197,108,53,5
207,119,63,5
203,165,89,5
195,171,100,5
195,166,88,5
218,155,21,5
211,153,49,5
224,147,34,5
223,147,35,5
207,152,40,5
198,138,75,5
196,132,75,5
206,141,74,5
199,149,72,5
211,165,116,5
204,156,38,6
208,164,50,6
191,126,78,6
192,156,73,6
218,168,66,6
203,146,51,6
190,151,62,6
203,140,79,6
225,150,69,6
219,158,100,6
219,152,93,6
216,126,64,6
220,157,74,6
212,141,89,6
214,120,73,6
221,123,72,6
191,162,74,6
211,161,36,6
218,144,83,6
207,155,7,6
202,155,14,6
192,163,30,6
222,179,118,6
209,168,114,6
208,131,72,6
213,147,91,6
212,159,76,6
217,161,80,6
207,161,84,6
218,157,26,6
223,157,82,6
205,159,54,6
214,176,119,6
209,166,69,6
214,155,35,6
205,162,104,6
208,165,63,6
220,171,119,6
206,123,84,6
204,110,67,6
203,167,89,6
212,155,20,6
206,155,63,6
215,132,56,6
205,166,93,6
216,150,85,6
221,140,69,6
221,152,86,6
201,141,90,6
216,159,90,6
212,162,101,6
214,172,101,6
208,164,102,6
220,150,13,6
215,156,98,6
205,154,67,6
204,163,84,6
210,171,80,6
224,160,110,6
210,154,100,6
217,148,89,6
212,162,100,6
212,111,66,6
205,160,76,6
202,128,57,6
194,161,77,6
210,167,90,6
222,161,89,6
204,162,77,6
216,157,80,6
203,113,67,6
207,153,79,6
208,159,97,6
203,148,85,6
204,123,66,6
217,155,62,6
225,152,45,6
206,156,72,6
223,175,92,6
214,163,65,6
216,161,89,6
219,162,84,6
204,160,96,6
193,153,129,6
215,174,117,6
217,167,74,6
199,173,90,6
206,171,81,6
219,157,95,6
201,133,98,6
214,155,97,6
189,107,68,6
234,157,75,6
222,132,57,6
213,134,80,6
207,130,62,6
220,150,24,6
211,173,92,6
226,157,50,6
219,161,95,6
216,162,91,6
210,149,124,6
216,171,92,6
225,162,86,6
222,164,88,6
224,155,87,6
220,165,99,6
213,167,109,6
202,162,42,6
202,164,48,6
212,155,25,6
221,151,34,6
212,153,96,6
211,157,100,6
215,162,100,6
207,145,62,6
223,148,46,6
219,155,54,6
213,165,73,6
201,158,67,6
211,164,76,6
207,132,67,6
216,149,70,6
211,159,45,6
209,158,50,6
225,159,106,6
206,159,111,6
228,155,109,6
209,152,98,6
209,158,73,6
214,153,58,6
205,156,70,6
201,156,81,6
207,167,54,6
196,167,53,6
214,158,46,6
205,167,88,6
202,146,75,6
213,149,64,6
218,151,10,6
212,123,72,6
217,158,69,6
221,159,101,6
210,148,85,6
221,150,22,6
201,169,93,6
211,160,53,6
207,162,63,6
206,142,108,6
205,159,45,6
219,154,9,6
216,157,12,6
217,159,16,6
198,173,85,6
210,158,51,6
212,163,60,6
216,154,91,6
217,149,87,6
210,158,21,6
217,163,91,6
218,154,57,6
208,159,91,6
227,143,58,6
218,158,23,6
199,164,46,6
207,162,36,6
223,143,22,6
207,141,35,6
219,160,111,6
208,138,32,6
207,159,17,6
206,141,34,6
205,167,98,6
193,175,110,6
200,167,42,6
211,167,49,6
202,172,71,6
216,156,18,6
214,154,13,6
202,148,53,6
201,153,18,6
201,151,14,6
212,164,29,6
202,157,13,6
198,164,99,6
220,151,86,6
213,156,91,6
190,162,102,6
211,159,41,6
204,143,57,6
205,124,77,6
201,163,66,6
199,162,58,6
205,155,17,6
217,157,20,6
199,167,41,6
207,167,43,6
200,155,15,6
200,161,11,6
207,157,10,6
206,121,83,6
207,161,88,6
213,138,107,6
217,117,84,6
222,140,78,6
215,163,39,6
220,151,93,6
196,172,76,6
205,170,61,6
